,,,,,,
input,output,topic,subtopic,tags,difficulty,format
Write a Python function that calculates the noise equivalent power given noise current and responsivity. Provide inline comments.,"def calculate_nep(noise_current, responsivity):
    # noise_current in amps, responsivity in A/W
    return noise_current / responsivity

    # Additional comments for clarity",Physics,Photodetectors,"python,NEP,code",Intermediate,Code
Write a Python function to compute the shot noise current given average current and bandwidth. Provide inline comments.,"def shot_noise_current(current, bandwidth):
    import math
    q = 1.602176634e-19
    return math.sqrt(2 * q * current * bandwidth)

    # Additional comments for clarity",Physics,Photodetectors,"python,shot noise,code",Intermediate,Code
Write Python code that computes the dopant ionization fraction given activation energy (eV) and temperature (K). Provide inline comments.,"def dopant_ionization_fraction(E_a, T):
    import math
    k_B = 8.617333262145e-5
    return 1.0 / (1 + 0.5 * math.exp(E_a / (k_B * T)))

    # Additional comments for clarity",Physics,Semiconductors,"python,dopant ionization,code",Advanced,Code
"Write Python code to compute specific detectivity given area, bandwidth and NEP. Provide inline comments.","def calculate_detectivity(area, bandwidth, nep):
    import math
    return math.sqrt(area * bandwidth) / nep

    # Additional comments for clarity",Physics,Photodetectors,"python,detectivity,code",Intermediate,Code
Why are heterojunctions advantageous for photodetectors?,"Heterojunctions allow bandgap engineering and reduce surface recombination, improving carrier collection, responsivity and noise performance.",Physics,Photodetectors,"heterojunction,advantages",Intermediate,Conceptual
Explain Bloch’s theorem in condensed matter physics.,"Bloch’s theorem states that electron wavefunctions in a periodic potential can be written as a plane wave modulated by a periodic function, leading to energy bands.",Physics,Condensed Matter,"Bloch theorem,periodic potential",Advanced,Conceptual
What is the Fermi level and how does doping shift it?,"The Fermi level is the chemical potential for electrons. n-type doping moves it closer to the conduction band, p-type moves it toward the valence band.",Physics,Semiconductors,"Fermi level,doping",Intermediate,Conceptual
Discuss the significance of exciton binding energy in semiconductors.,Exciton binding energy quantifies the stability of electron–hole pairs. Materials with high binding energy can exhibit excitonic effects at room temperature.,Physics,Semiconductors,"exciton,binding energy",Advanced,Conceptual
Why is Debye temperature important in solid-state physics?,Debye temperature relates to the highest vibrational frequency and sets the scale for heat capacity and thermal conductivity. It indicates lattice stiffness.,Physics,Condensed Matter,"Debye temperature,heat capacity",Intermediate,Conceptual
Explain the concept of bandgap engineering.,Bandgap engineering involves modifying semiconductor band structures through composition or strain to tailor electronic and optical properties for specific applications.,Physics,Semiconductors,"bandgap engineering,applications",Intermediate,Conceptual
Why are photodiodes operated under reverse bias?,"Reverse bias widens the depletion region, decreases capacitance, and improves collection of photogenerated carriers, resulting in faster response and lower noise.",Physics,Photodetectors,"photodiode,reverse bias",Beginner,Conceptual
Discuss the role of phonons in thermal conductivity.,Phonons are quantized lattice vibrations responsible for heat transport. Their scattering and mean free path determine thermal conductivity in solids.,Physics,Condensed Matter,"phonons,thermal conductivity",Intermediate,Conceptual
How does doping concentration affect carrier mobility?,"Higher doping introduces ionized impurity scattering that reduces mobility. At low doping, lattice scattering dominates; at high doping, mobility decreases.",Physics,Semiconductors,"doping,mobility",Intermediate,Conceptual
Explain the difference between photoconductive and photovoltaic detectors.,"Photoconductive detectors change conductivity upon illumination, requiring a bias voltage. Photovoltaic detectors generate a voltage or current without external bias, usually with lower noise.",Physics,Photodetectors,"photoconductive,photovoltaic",Intermediate,Conceptual
Why is bandgap tuning important for infrared detectors?,Bandgap tuning allows detectors to match the desired spectral response. Narrow bandgaps detect longer wavelengths; wide bandgaps detect shorter wavelengths and reduce dark current.,Physics,Photodetectors,"bandgap tuning,infrared",Advanced,Conceptual
Discuss the effects of surface recombination on photodiode performance.,Surface recombination reduces carrier lifetime and quantum efficiency. Passivation and heterostructures help mitigate these effects.,Physics,Photodetectors,"surface recombination,performance",Advanced,Conceptual
Explain the importance of absorption coefficient in detector design.,The absorption coefficient determines how much light is absorbed per unit length. High absorption coefficients allow thinner detectors with reduced capacitance and faster response.,Physics,Photodetectors,"absorption coefficient,design",Intermediate,Conceptual
Why are avalanche photodiodes more sensitive than PIN photodiodes?,"Avalanche photodiodes provide internal gain through impact ionization, resulting in higher responsivity, but at the cost of increased excess noise and higher operating voltage.",Physics,Photodetectors,"avalanche photodiodes,sensitivity",Advanced,Conceptual
What is the difference between spontaneous and stimulated emission?,"Spontaneous emission occurs randomly without external photons, while stimulated emission occurs when an incoming photon induces emission of an identical photon, leading to amplification.",Physics,Optoelectronics,"spontaneous emission,stimulated emission",Intermediate,Conceptual
Why are II–VI semiconductors used in infrared detectors?,II–VI compounds like HgCdTe and CdZnTe have tunable narrow bandgaps enabling detection of mid- to long-wave infrared radiation.,Physics,Materials,"II-VI semiconductors,infrared",Advanced,Conceptual
Discuss the role of excitons in organic semiconductors.,"In organic semiconductors, excitons have high binding energies and contribute to optical absorption and emission. Their diffusion length influences device efficiency.",Physics,Semiconductors,"excitons,organic semiconductors",Advanced,Conceptual
How does temperature affect dark current in photodiodes?,Dark current increases exponentially with temperature due to increased thermal generation of carriers. Cooling reduces dark current and improves sensitivity.,Physics,Photodetectors,"temperature,dark current",Intermediate,Conceptual
Explain the concept of Fermi-Dirac distribution.,The Fermi-Dirac distribution gives the probability that an electron state at energy E is occupied at temperature T: f(E) = 1/(exp((E−μ)/(k_BT)) + 1).,Physics,Semiconductors,"Fermi-Dirac distribution,probability",Advanced,Conceptual
Why do wide bandgap materials have lower intrinsic carrier concentrations?,"A wider bandgap increases the energy required to excite electrons across the gap, resulting in fewer thermally generated carriers and lower intrinsic carrier concentration.",Physics,Semiconductors,"wide bandgap,intrinsic carriers",Intermediate,Conceptual
Discuss the principle of responsivity in photodetectors.,Responsivity measures output signal per incident optical power. It depends on quantum efficiency and wavelength; higher responsivity indicates more efficient photon-to-carrier conversion.,Physics,Photodetectors,"responsivity,principle",Beginner,Conceptual
Why are heterojunctions advantageous for photodetectors? Discuss.,"Heterojunctions allow bandgap engineering and reduce surface recombination, improving carrier collection, responsivity and noise performance. This concept is crucial for understanding photodetectors.",Physics,Photodetectors,"heterojunction,advantages",Intermediate,Conceptual
Describe Bloch’s theorem in condensed matter physics.,"Bloch’s theorem states that electron wavefunctions in a periodic potential can be written as a plane wave modulated by a periodic function, leading to energy bands. This concept is crucial for understanding photodetectors.",Physics,Condensed Matter,"Bloch theorem,periodic potential",Advanced,Conceptual
What is the Fermi level and how does doping shift it? Discuss.,"The Fermi level is the chemical potential for electrons. n-type doping moves it closer to the conduction band, p-type moves it toward the valence band. This concept is crucial for understanding photodetectors.",Physics,Semiconductors,"Fermi level,doping",Intermediate,Conceptual
Discuss the significance of exciton binding energy in semiconductors. Discuss.,Exciton binding energy quantifies the stability of electron–hole pairs. Materials with high binding energy can exhibit excitonic effects at room temperature. This concept is crucial for understanding photodetectors.,Physics,Semiconductors,"exciton,binding energy",Advanced,Conceptual
Why is Debye temperature important in solid-state physics? Discuss.,Debye temperature relates to the highest vibrational frequency and sets the scale for heat capacity and thermal conductivity. It indicates lattice stiffness. This concept is crucial for understanding photodetectors.,Physics,Condensed Matter,"Debye temperature,heat capacity",Intermediate,Conceptual
Describe the concept of bandgap engineering.,Bandgap engineering involves modifying semiconductor band structures through composition or strain to tailor electronic and optical properties for specific applications. This concept is crucial for understanding photodetectors.,Physics,Semiconductors,"bandgap engineering,applications",Intermediate,Conceptual
Why are photodiodes operated under reverse bias? Discuss.,"Reverse bias widens the depletion region, decreases capacitance, and improves collection of photogenerated carriers, resulting in faster response and lower noise. This concept is crucial for understanding photodetectors.",Physics,Photodetectors,"photodiode,reverse bias",Beginner,Conceptual
Discuss the role of phonons in thermal conductivity. Discuss.,Phonons are quantized lattice vibrations responsible for heat transport. Their scattering and mean free path determine thermal conductivity in solids. This concept is crucial for understanding photodetectors.,Physics,Condensed Matter,"phonons,thermal conductivity",Intermediate,Conceptual
How does doping concentration affect carrier mobility? Discuss.,"Higher doping introduces ionized impurity scattering that reduces mobility. At low doping, lattice scattering dominates; at high doping, mobility decreases. This concept is crucial for understanding photodetectors.",Physics,Semiconductors,"doping,mobility",Intermediate,Conceptual
Describe the difference between photoconductive and photovoltaic detectors.,"Photoconductive detectors change conductivity upon illumination, requiring a bias voltage. Photovoltaic detectors generate a voltage or current without external bias, usually with lower noise. This concept is crucial for understanding photodetectors.",Physics,Photodetectors,"photoconductive,photovoltaic",Intermediate,Conceptual
Why is bandgap tuning important for infrared detectors? Discuss.,Bandgap tuning allows detectors to match the desired spectral response. Narrow bandgaps detect longer wavelengths; wide bandgaps detect shorter wavelengths and reduce dark current. This concept is crucial for understanding photodetectors.,Physics,Photodetectors,"bandgap tuning,infrared",Advanced,Conceptual
Discuss the effects of surface recombination on photodiode performance. Discuss.,Surface recombination reduces carrier lifetime and quantum efficiency. Passivation and heterostructures help mitigate these effects. This concept is crucial for understanding photodetectors.,Physics,Photodetectors,"surface recombination,performance",Advanced,Conceptual
Describe the importance of absorption coefficient in detector design.,The absorption coefficient determines how much light is absorbed per unit length. High absorption coefficients allow thinner detectors with reduced capacitance and faster response. This concept is crucial for understanding photodetectors.,Physics,Photodetectors,"absorption coefficient,design",Intermediate,Conceptual
Why are avalanche photodiodes more sensitive than PIN photodiodes? Discuss.,"Avalanche photodiodes provide internal gain through impact ionization, resulting in higher responsivity, but at the cost of increased excess noise and higher operating voltage. This concept is crucial for understanding photodetectors.",Physics,Photodetectors,"avalanche photodiodes,sensitivity",Advanced,Conceptual
What is the difference between spontaneous and stimulated emission? Discuss.,"Spontaneous emission occurs randomly without external photons, while stimulated emission occurs when an incoming photon induces emission of an identical photon, leading to amplification. This concept is crucial for understanding photodetectors.",Physics,Optoelectronics,"spontaneous emission,stimulated emission",Intermediate,Conceptual
Why are II–VI semiconductors used in infrared detectors? Discuss.,II–VI compounds like HgCdTe and CdZnTe have tunable narrow bandgaps enabling detection of mid- to long-wave infrared radiation. This concept is crucial for understanding photodetectors.,Physics,Materials,"II-VI semiconductors,infrared",Advanced,Conceptual
Discuss the role of excitons in organic semiconductors. Discuss.,"In organic semiconductors, excitons have high binding energies and contribute to optical absorption and emission. Their diffusion length influences device efficiency. This concept is crucial for understanding photodetectors.",Physics,Semiconductors,"excitons,organic semiconductors",Advanced,Conceptual
How does temperature affect dark current in photodiodes? Discuss.,Dark current increases exponentially with temperature due to increased thermal generation of carriers. Cooling reduces dark current and improves sensitivity. This concept is crucial for understanding photodetectors.,Physics,Photodetectors,"temperature,dark current",Intermediate,Conceptual
Describe the concept of Fermi-Dirac distribution.,The Fermi-Dirac distribution gives the probability that an electron state at energy E is occupied at temperature T: f(E) = 1/(exp((E−μ)/(k_BT)) + 1). This concept is crucial for understanding photodetectors.,Physics,Semiconductors,"Fermi-Dirac distribution,probability",Advanced,Conceptual
Why do wide bandgap materials have lower intrinsic carrier concentrations? Discuss.,"A wider bandgap increases the energy required to excite electrons across the gap, resulting in fewer thermally generated carriers and lower intrinsic carrier concentration. This concept is crucial for understanding photodetectors.",Physics,Semiconductors,"wide bandgap,intrinsic carriers",Intermediate,Conceptual
Discuss the principle of responsivity in photodetectors. Discuss.,Responsivity measures output signal per incident optical power. It depends on quantum efficiency and wavelength; higher responsivity indicates more efficient photon-to-carrier conversion. This concept is crucial for understanding photodetectors.,Physics,Photodetectors,"responsivity,principle",Beginner,Conceptual
Define Bloch function.,"A Bloch function is a solution to the Schrödinger equation in a periodic potential, expressed as a plane wave times a periodic function.",Physics,Condensed Matter,"Bloch function,definition",Advanced,Definition
Define phonon.,A phonon is a quantized lattice vibration that carries energy and momentum in a crystalline solid.,Physics,Condensed Matter,"phonon,definition",Beginner,Definition
Define exciton.,An exciton is a bound state of an electron and a hole attracted by Coulomb interaction in a semiconductor.,Physics,Semiconductors,"exciton,definition",Intermediate,Definition
Define heterojunction.,A heterojunction is an interface between two different semiconductor materials with different bandgaps.,Physics,Semiconductors,"heterojunction,definition",Intermediate,Definition
Define Fermi energy.,The Fermi energy is the highest occupied energy level of a system at absolute zero temperature.,Physics,Semiconductors,"Fermi energy,definition",Intermediate,Definition
Define Brillouin zone.,"The Brillouin zone is the primitive cell in reciprocal space, defining the fundamental region for electron wave vectors in a crystal.",Physics,Condensed Matter,"Brillouin zone,definition",Advanced,Definition
Define carrier mobility.,Carrier mobility is the proportionality constant between carrier drift velocity and electric field: μ = v_d/E.,Physics,Semiconductors,"mobility,definition",Beginner,Definition
Define trap state in semiconductors.,"Trap states are localized energy levels within the bandgap that can capture and release carriers, affecting recombination and transport.",Physics,Semiconductors,"trap state,definition",Advanced,Definition
Define depletion region.,"The depletion region is a region around a p–n junction depleted of free carriers, containing fixed ionized donors and acceptors.",Physics,Semiconductors,"depletion region,definition",Beginner,Definition
Define optical transmittance.,Transmittance is the fraction of incident light that passes through a material or optical component.,Physics,Optics,"transmittance,definition",Beginner,Definition
Define responsivity in photodetectors.,Responsivity is the ratio of output electrical signal (current or voltage) to input optical power.,Physics,Photodetectors,"responsivity,definition",Beginner,Definition
Define noise equivalent power.,Noise equivalent power is the optical power that yields a signal-to-noise ratio of one in a 1 Hz output bandwidth.,Physics,Photodetectors,"NEP,definition",Intermediate,Definition
Define dark current.,Dark current is the current that flows through a photodetector in the absence of light due to thermally generated carriers.,Physics,Photodetectors,"dark current,definition",Beginner,Definition
Define quantum efficiency.,Quantum efficiency is the ratio of detected charge carriers to incident photons.,Physics,Photodetectors,"quantum efficiency,definition",Beginner,Definition
Define responsivity in terms of quantum efficiency.,"Responsivity R = η·q·λ/(h·c), where η is quantum efficiency, q elementary charge, λ wavelength, h Planck’s constant and c speed of light.",Physics,Photodetectors,"responsivity,quantum efficiency",Intermediate,Definition
Define specific detectivity (D*).,"Specific detectivity D* = √(A·Δf)/NEP, where A is detector area, Δf bandwidth and NEP noise equivalent power.",Physics,Photodetectors,"specific detectivity,definition",Intermediate,Definition
Define signal-to-noise ratio in photodetectors.,The signal-to-noise ratio (SNR) is the ratio of the signal current to the noise current in a given bandwidth.,Physics,Photodetectors,"SNR,definition",Intermediate,Definition
Define shot noise.,Shot noise is the statistical noise due to the discrete nature of charge carriers; its rms current is √(2·q·I·Δf).,Physics,Photodetectors,"shot noise,definition",Advanced,Definition
Define Johnson noise.,"Johnson noise is thermal noise generated by resistors, with rms voltage √(4·k·T·R·Δf).",Physics,Photodetectors,"Johnson noise,definition",Advanced,Definition
Define doping concentration.,"Doping concentration is the number of dopant atoms per unit volume in a semiconductor, typically given in cm⁻³.",Physics,Semiconductors,"doping concentration,definition",Beginner,Definition
Define minority carrier lifetime.,Minority carrier lifetime is the average time a minority carrier persists before recombination.,Physics,Semiconductors,"minority carrier lifetime,definition",Intermediate,Definition
What is phonon.,A phonon is a quantized lattice vibration that carries energy and momentum in a crystalline solid. This is an important definition in photodetector science.,Physics,Condensed Matter,"phonon,definition",Beginner,Definition
What is exciton.,An exciton is a bound state of an electron and a hole attracted by Coulomb interaction in a semiconductor. This is an important definition in photodetector science.,Physics,Semiconductors,"exciton,definition",Intermediate,Definition
What is heterojunction.,A heterojunction is an interface between two different semiconductor materials with different bandgaps. This is an important definition in photodetector science.,Physics,Semiconductors,"heterojunction,definition",Intermediate,Definition
What is Fermi energy.,The Fermi energy is the highest occupied energy level of a system at absolute zero temperature. This is an important definition in photodetector science.,Physics,Semiconductors,"Fermi energy,definition",Intermediate,Definition
What is Brillouin zone.,"The Brillouin zone is the primitive cell in reciprocal space, defining the fundamental region for electron wave vectors in a crystal. This is an important definition in photodetector science.",Physics,Condensed Matter,"Brillouin zone,definition",Advanced,Definition
What is carrier mobility.,Carrier mobility is the proportionality constant between carrier drift velocity and electric field: μ = v_d/E. This is an important definition in photodetector science.,Physics,Semiconductors,"mobility,definition",Beginner,Definition
What is trap state in semiconductors.,"Trap states are localized energy levels within the bandgap that can capture and release carriers, affecting recombination and transport. This is an important definition in photodetector science.",Physics,Semiconductors,"trap state,definition",Advanced,Definition
What is depletion region.,"The depletion region is a region around a p–n junction depleted of free carriers, containing fixed ionized donors and acceptors. This is an important definition in photodetector science.",Physics,Semiconductors,"depletion region,definition",Beginner,Definition
What is optical transmittance.,Transmittance is the fraction of incident light that passes through a material or optical component. This is an important definition in photodetector science.,Physics,Optics,"transmittance,definition",Beginner,Definition
What is responsivity in photodetectors.,Responsivity is the ratio of output electrical signal (current or voltage) to input optical power. This is an important definition in photodetector science.,Physics,Photodetectors,"responsivity,definition",Beginner,Definition
What is noise equivalent power.,Noise equivalent power is the optical power that yields a signal-to-noise ratio of one in a 1 Hz output bandwidth. This is an important definition in photodetector science.,Physics,Photodetectors,"NEP,definition",Intermediate,Definition
What is dark current.,Dark current is the current that flows through a photodetector in the absence of light due to thermally generated carriers. This is an important definition in photodetector science.,Physics,Photodetectors,"dark current,definition",Beginner,Definition
What is quantum efficiency.,Quantum efficiency is the ratio of detected charge carriers to incident photons. This is an important definition in photodetector science.,Physics,Photodetectors,"quantum efficiency,definition",Beginner,Definition
What is responsivity in terms of quantum efficiency.,"Responsivity R = η·q·λ/(h·c), where η is quantum efficiency, q elementary charge, λ wavelength, h Planck’s constant and c speed of light. This is an important definition in photodetector science.",Physics,Photodetectors,"responsivity,quantum efficiency",Intermediate,Definition
What is specific detectivity (D*).,"Specific detectivity D* = √(A·Δf)/NEP, where A is detector area, Δf bandwidth and NEP noise equivalent power. This is an important definition in photodetector science.",Physics,Photodetectors,"specific detectivity,definition",Intermediate,Definition
What is signal-to-noise ratio in photodetectors.,The signal-to-noise ratio (SNR) is the ratio of the signal current to the noise current in a given bandwidth. This is an important definition in photodetector science.,Physics,Photodetectors,"SNR,definition",Intermediate,Definition
What is shot noise.,Shot noise is the statistical noise due to the discrete nature of charge carriers; its rms current is √(2·q·I·Δf). This is an important definition in photodetector science.,Physics,Photodetectors,"shot noise,definition",Advanced,Definition
What is Johnson noise.,"Johnson noise is thermal noise generated by resistors, with rms voltage √(4·k·T·R·Δf). This is an important definition in photodetector science.",Physics,Photodetectors,"Johnson noise,definition",Advanced,Definition
What is doping concentration.,"Doping concentration is the number of dopant atoms per unit volume in a semiconductor, typically given in cm⁻³. This is an important definition in photodetector science.",Physics,Semiconductors,"doping concentration,definition",Beginner,Definition
Derive the expression for quantum efficiency in a photodiode with absorption coefficient α and thickness d.,"Quantum efficiency η = 1 − exp(−α·d). Derivation: for a uniform absorption coefficient α, the fraction of photons absorbed in thickness d is 1 − exp(−α·d).",Physics,Photodetectors,"quantum efficiency,derivation",Advanced,Derivation
Derive the Johnson noise current for a resistor from the fluctuation-dissipation theorem.,"Starting from the fluctuation-dissipation theorem, the power spectral density of voltage fluctuations is 4·k·T·R. Dividing by R² yields current noise spectral density 4·k·T/R. Integrating over bandwidth gives noise current i_n = √(4·k·T·Δf/R).",Physics,Photodetectors,"Johnson noise,derivation",Advanced,Derivation
Derive the relation between doping concentration and Fermi level position in an n-type semiconductor.,"Using n = N_C·exp(-(E_C − E_F)/(k_B·T)), solving for E_F yields E_F = E_C − k_B·T·ln(N_C/n). With n ≈ N_D for nondegenerate doping, E_F shifts toward the conduction band by k_B·T·ln(N_C/N_D).",Physics,Semiconductors,"Fermi level,doping,derivation",Advanced,Derivation
Derive the expression for photodiode responsivity from quantum efficiency.,"Responsivity R = (η·q·λ)/(h·c). Starting from quantum efficiency η = electrons/photon, each photon carries energy h·c/λ. Multiplying η by q and dividing by photon energy yields output current per optical power.",Physics,Photodetectors,"responsivity,derivation",Advanced,Derivation
Derive the diode equation for current–voltage characteristics.,"Using the continuity equation and recombination-generation balance in the depletion region, solving for carrier concentrations yields I = I_0·(exp(qV/(n·k_B·T)) − 1).",Physics,Semiconductors,"diode equation,derivation",Advanced,Derivation
Derive Planck’s law of blackbody radiation using quantization of electromagnetic modes.,"By quantizing electromagnetic modes in a cavity and applying Bose-Einstein statistics, the energy density is u(ν,T) = (8·π·h·ν^3/c^3)/(exp(h·ν/(k_B·T)) − 1). Multiplying by c/4 gives spectral radiance.",Physics,Radiometry,"Planck law,derivation",Advanced,Derivation
Derive the expression for thermal noise spectral density in a resistor.,"Starting from equipartition theorem and applying Nyquist’s theorem, the voltage noise spectral density is S_V(f) = 4·k·T·R.",Physics,Photodetectors,"thermal noise,derivation",Advanced,Derivation
Derive the Debye model expression for heat capacity at low temperatures.,"In the Debye model, at low temperatures, the heat capacity C ≈ (12·π^4/5)·N·k_B·(T/Θ_D)^3, where Θ_D is the Debye temperature and N number of atoms.",Physics,Condensed Matter,"Debye model,heat capacity,derivation",Advanced,Derivation
Derive the expression for photon shot noise in terms of photon arrival rate.,"Photon shot noise arises due to Poisson statistics: the variance equals the mean. For average photon arrival rate Φ, the rms fluctuation is √Φ in a unit time interval.",Physics,Radiometry,"shot noise,photons,derivation",Advanced,Derivation
Derive the relationship between photoconductive gain and carrier lifetime and transit time.,"Photoconductive gain G = τ/τ_tr, where τ is carrier lifetime and τ_tr transit time. Derivation follows from analyzing generation and collection of carriers under applied field.",Physics,Photodetectors,"photoconductive gain,derivation",Advanced,Derivation
Show the expression for quantum efficiency in a photodiode with absorption coefficient α and thickness d.,"Quantum efficiency η = 1 − exp(−α·d). Derivation: for a uniform absorption coefficient α, the fraction of photons absorbed in thickness d is 1 − exp(−α·d). Assume ideal conditions for simplicity.",Physics,Photodetectors,"quantum efficiency,derivation",Advanced,Derivation
Show the Johnson noise current for a resistor from the fluctuation-dissipation theorem.,"Starting from the fluctuation-dissipation theorem, the power spectral density of voltage fluctuations is 4·k·T·R. Dividing by R² yields current noise spectral density 4·k·T/R. Integrating over bandwidth gives noise current i_n = √(4·k·T·Δf/R). Assume ideal conditions for simplicity.",Physics,Photodetectors,"Johnson noise,derivation",Advanced,Derivation
Show the relation between doping concentration and Fermi level position in an n-type semiconductor.,"Using n = N_C·exp(-(E_C − E_F)/(k_B·T)), solving for E_F yields E_F = E_C − k_B·T·ln(N_C/n). With n ≈ N_D for nondegenerate doping, E_F shifts toward the conduction band by k_B·T·ln(N_C/N_D). Assume ideal conditions for simplicity.",Physics,Semiconductors,"Fermi level,doping,derivation",Advanced,Derivation
Show the expression for photodiode responsivity from quantum efficiency.,"Responsivity R = (η·q·λ)/(h·c). Starting from quantum efficiency η = electrons/photon, each photon carries energy h·c/λ. Multiplying η by q and dividing by photon energy yields output current per optical power. Assume ideal conditions for simplicity.",Physics,Photodetectors,"responsivity,derivation",Advanced,Derivation
Show the diode equation for current–voltage characteristics.,"Using the continuity equation and recombination-generation balance in the depletion region, solving for carrier concentrations yields I = I_0·(exp(qV/(n·k_B·T)) − 1). Assume ideal conditions for simplicity.",Physics,Semiconductors,"diode equation,derivation",Advanced,Derivation
Show Planck’s law of blackbody radiation using quantization of electromagnetic modes.,"By quantizing electromagnetic modes in a cavity and applying Bose-Einstein statistics, the energy density is u(ν,T) = (8·π·h·ν^3/c^3)/(exp(h·ν/(k_B·T)) − 1). Multiplying by c/4 gives spectral radiance. Assume ideal conditions for simplicity.",Physics,Radiometry,"Planck law,derivation",Advanced,Derivation
Show the expression for thermal noise spectral density in a resistor.,"Starting from equipartition theorem and applying Nyquist’s theorem, the voltage noise spectral density is S_V(f) = 4·k·T·R. Assume ideal conditions for simplicity.",Physics,Photodetectors,"thermal noise,derivation",Advanced,Derivation
Show the Debye model expression for heat capacity at low temperatures.,"In the Debye model, at low temperatures, the heat capacity C ≈ (12·π^4/5)·N·k_B·(T/Θ_D)^3, where Θ_D is the Debye temperature and N number of atoms. Assume ideal conditions for simplicity.",Physics,Condensed Matter,"Debye model,heat capacity,derivation",Advanced,Derivation
Show the expression for photon shot noise in terms of photon arrival rate.,"Photon shot noise arises due to Poisson statistics: the variance equals the mean. For average photon arrival rate Φ, the rms fluctuation is √Φ in a unit time interval. Assume ideal conditions for simplicity.",Physics,Radiometry,"shot noise,photons,derivation",Advanced,Derivation
Show the relationship between photoconductive gain and carrier lifetime and transit time.,"Photoconductive gain G = τ/τ_tr, where τ is carrier lifetime and τ_tr transit time. Derivation follows from analyzing generation and collection of carriers under applied field. Assume ideal conditions for simplicity.",Physics,Photodetectors,"photoconductive gain,derivation",Advanced,Derivation
"Provide a table of typical bandgap energies and cutoff wavelengths for three infrared detector materials: InSb, PbSe, and HgCdTe.","Material,Bandgap (eV),Cutoff wavelength (µm)
InSb,0.17,7.3
PbSe,0.27,4.6
HgCdTe,0.10,12.4",Physics,Materials,"table,bandgap,detectors",Intermediate,Table
List typical trap energy levels for donor and acceptor impurities in silicon and gallium arsenide.,"Material,Donor energy (eV),Acceptor energy (eV)
Si,0.045,0.057
GaAs,0.006,0.027",Physics,Semiconductors,"table,trap energies",Advanced,Table
"Provide a table of Debye temperatures for copper, silicon, and diamond.","Material,Debye temperature (K)
Copper,343
Silicon,645
Diamond,1860",Physics,Condensed Matter,"table,Debye temperature",Intermediate,Table
"Create a table of absorption coefficients at 1 µm for GaAs, InGaAs and Ge.","Material,Absorption coefficient (cm⁻¹)
GaAs,1e4
InGaAs,8e3
Ge,4e3",Physics,Photodetectors,"table,absorption coefficient",Intermediate,Table
"Provide a table comparing quantum efficiency and responsivity of Si, InGaAs and HgCdTe photodiodes at 1.55 µm.","Material,Quantum efficiency,Responsivity (A/W)
Si,0.5,0.52
InGaAs,0.9,0.95
HgCdTe,0.8,2.0",Physics,Photodetectors,"table,quantum efficiency,responsivity",Intermediate,Table
"Give a table of typical bandgap energies and cutoff wavelengths for three infrared detector materials: InSb, PbSe, and HgCdTe.","Material,Bandgap (eV),Cutoff wavelength (µm)
InSb,0.17,7.3
PbSe,0.27,4.6
HgCdTe,0.10,12.4",Physics,Materials,"table,bandgap,detectors",Intermediate,Table
"Give a table of Debye temperatures for copper, silicon, and diamond.","Material,Debye temperature (K)
Copper,343
Silicon,645
Diamond,1860",Physics,Condensed Matter,"table,Debye temperature",Intermediate,Table
"Give a table comparing quantum efficiency and responsivity of Si, InGaAs and HgCdTe photodiodes at 1.55 µm.","Material,Quantum efficiency,Responsivity (A/W)
Si,0.5,0.52
InGaAs,0.9,0.95
HgCdTe,0.8,2.0",Physics,Photodetectors,"table,quantum efficiency,responsivity",Intermediate,Table
"For a dopant activation energy of 0.063 eV at 279.8 K, estimate the dopant ionization fraction.","Using f = 1/(1 + 0.5·exp(E_a/(k_B·T))). With E_a = 0.063 eV and T = 279.8 K, f ≈ 0.128.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
"For a dopant activation energy of 0.024 eV at 369.5 K, estimate the dopant ionization fraction.","Using f = 1/(1 + 0.5·exp(E_a/(k_B·T))). With E_a = 0.024 eV and T = 369.5 K, f ≈ 0.482.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
"For a dopant activation energy of 0.072 eV at 367.6 K, estimate the dopant ionization fraction.","Using f = 1/(1 + 0.5·exp(E_a/(k_B·T))). With E_a = 0.072 eV and T = 367.6 K, f ≈ 0.173.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
"For a dopant activation energy of 0.027 eV at 262.8 K, estimate the dopant ionization fraction.","Using f = 1/(1 + 0.5·exp(E_a/(k_B·T))). With E_a = 0.027 eV and T = 262.8 K, f ≈ 0.381.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
"For a dopant activation energy of 0.079 eV at 343.0 K, estimate the dopant ionization fraction.","Using f = 1/(1 + 0.5·exp(E_a/(k_B·T))). With E_a = 0.079 eV and T = 343.0 K, f ≈ 0.122.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
"For a dopant activation energy of 0.012 eV at 166.3 K, estimate the dopant ionization fraction.","Using f = 1/(1 + 0.5·exp(E_a/(k_B·T))). With E_a = 0.012 eV and T = 166.3 K, f ≈ 0.466.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
